objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll054,MrPrachtAnsweredTheStudyofLanguagesNotaOregonianpublishedasMorningOregonianJanuary241894page4.pdf,"""Mr. Pracht Answered""",The Morning Oregonian,1894-01-24,Account of an educator weighing in on German communities teaching only foreign languages in publicly funded schools. ,German,"Portland, Oregon",45.52345,-122.67621,NewsBank,MrPrachtAnsweredTheStudyofLanguagesNotaOregonianpublishedasMorningOregonianJanuary241894page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll055,PolkCountyNewsOregonianpublishedasMorningOregonianNovember81889page2.pdf,"""Polk County News""",The Morning Oregonian,1889-11-28,Account of German immigrants moving south from Manitoba to the Dalles. ,German,"The Dalles, Oregon",45.59456,-121.17868,NewsBank,PolkCountyNewsOregonianpublishedasMorningOregonianNovember81889page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll056,AccidentOvertakesFleeingGrafterTacomaDailyNewspublishedasTHETACOMADAILYNEWSNovember281907page3.pdf,"""Accident Overtakes Fleeing Grafter""",The Tacoma Daily News,11/28/07,Account of a group of German laborers assaulting a labor foreman. ,German; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,AccidentOvertakesFleeingGrafterTacomaDailyNewspublishedasTHETACOMADAILYNEWSNovember281907page3.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll057,DischargedLaborersAppealOregonianpublishedasMorningOregonianJanuary91908page11.pdf,"""Discharged Laborers Appeal""",The Morning Oregonian,1/9/08,Group of German laborers file a petition with Tacoma parks superintendent on grounds of wrongful dismissal. ,German; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,DischargedLaborersAppealOregonianpublishedasMorningOregonianJanuary91908page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll058,MakeHunWorkasWellasPayOregonianpublishedasMorningOregonianOctober281918pageCopyof6.pdf,"""Make Hun Work as Well as Pay""",The Morning Oregonian,10/28/18,"Editorial from resident of Stevenson, WA on German labor. ",German,"Stevenson, Washington",45.69567,121.88452,NewsBank,MakeHunWorkasWellasPayOregonianpublishedasMorningOregonianOctober281918pageCopyof6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll059,SheriffNabsThreeWobbliesSeattlePostIntelligencerMarch301922page7.pdf,"""Sheriff Nabs Three Wobblies""",The Seattle Post-Intelligencer,3/30/22,Account of King County sheriff arresting German laborers. ,German,"Seattle, Washington",47.60621,-122.33207,NewsBank,SheriffNabsThreeWobbliesSeattlePostIntelligencerMarch301922page7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll060,TeutonRedTakeninPortlandRaidSecretaryofHunOregonianpublishedasMorningOregonianNovember131919page16.pdf,"""Teuton Red Taken in Portland Raid""",The Morning Oregonian,11/13/19,Account of police raid on German I.W.W. members. ,German,"Portland, Oregon",45.52345,-122.67621,NewsBank,TeutonRedTakeninPortlandRaidSecretaryofHunOregonianpublishedasMorningOregonianNovember131919page16.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll061,Arbeideren041892.png,"Arbeideren, German Language Newspaper",Arbeideren,1892-04-01,"Arbeideren, German Language Newspaper",German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,Arbeideren041892.png,Image;StillImage,image/jpeg,ger,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll062,A Paper on ImmigrationG.pdf,"""A Paper on Immigration""",The Tacoma Rotary Club,3/31/15,Anti-Immigration pamphlet published by the Tacoma Rotary Club.,German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,A Paper on ImmigrationG.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll063,TEN151019012.png,"""Bewildering Sights""",The Evening News,10/15/01,"Description of an international fair that was held in Tacoma and. Organized by various fraternal orders, featuring a German village exhibition. ",German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,TEN151019012.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll064,V15011891.png,Verwartz! German Language Newspaper,Verwarts!,1891-01-06,Verwartz! German Language Newspaper,German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,V15011891.png,Image;StillImage,image/jpeg,ger,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll065,PE01061904.png,"Pacific Emissaren, Dutch Language Newspaper",Pacific Emissaren,6/1/04,"Pacific Emissaren, Dutch Language Newspaper",German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,PE01061904.png,Image;StillImage,image/jpeg,dut,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll066,ALessoninAnarchyOregonianpublishedasMorningOregonianJuly161908page8.pdf,"""A Lesson in Anarchy""",The Morning Oregonian,7/16/08,"An editorial denouncing the actions of ""kindergarten Greek citizens"" on behalf of the Salem Electric Railroad Co. in Marion and Washington Counties.",Greek; Transportation,Marion County,44.90319,-122.58473,NewsBank,ALessoninAnarchyOregonianpublishedasMorningOregonianJuly161908page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll067,DetroitSaloonWreckedWorkBelievedtoBeRevengeOregonianpublishedasTheSundayOregonianSeptember11907page15.pdf,"""Detroit Saloon Wrecked ""A Lesson in Anarchy""",The Morning Oregonian,9/1/07,"Account of a group of Greek railroad laborers dynamiting a saloon in Detroit, OR.",Greek; Transportation,"Detroit, Oregon",44.73401,-122.1498,NewsBank,DetroitSaloonWreckedWorkBelievedtoBeRevengeOregonianpublishedasTheSundayOregonianSeptember11907page15.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll068,GreeksTurnonForemanFrankMGeeStopsAttackOregonianpublishedasMorningOregonianApril81908page11.pdf,"""Greeks Turn on Foreman""",The Morning Oregonian,4/8/08,Description of a group of Greek laborers confronting a foreman and being threatened with a pistol. ,Greek; Land Development,"Portland, Oregon",45.52345,-122.67621,NewsBank,GreeksTurnonForemanFrankMGeeStopsAttackOregonianpublishedasMorningOregonianApril81908page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll069,SpillBloodatColfaxGreekLaborersinFightOregonianpublishedasMorningOregonianDecember111908page1.pdf,"""Spill Blood at Colfax""",The Morning Oregonian,12/11/08,"Account of gun fight between three Greek railroad workers employed by O.R. & N. in Colfax, Washington. ",Greek; Transportation,"Colfax, Washington",46.88017,117.36435,NewsBank,SpillBloodatColfaxGreekLaborersinFightOregonianpublishedasMorningOregonianDecember111908page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll070,WomanKilledinRiotTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober111905page1.pdf,"""Woman Killed in Riot""",The Tacoma Daily News,10/11/05,"Large scale incident involving the arrest of eighty Greek railroad workers fighting with another railroad worker group, resulting in the death of a woman caught in the cross fire. ",Greek; Transportation,"Riddle, Oregon",42.95095,123.36423,NewsBank,WomanKilledinRiotTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober111905page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll071,CentraliaAmericansWouldOustGreeksSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESMay31911page13.pdf,"""Centralia Americans Would Oust Greeks""",The Seattle Daily Times,5/3/11,Account of petition against the signing of any city contracts to Greek laborers during a Centralia city council meeting. ,Greek; Land Development,"Centralia, Washington",46.71621,-122.9543,NewsBank,CentraliaAmericansWouldOustGreeksSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESMay31911page13.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll072,DynamiteFuseFailsAttemptMadetoBlowupOregonianpublishedasMorningOregonianNovember21910page9.pdf,"""Dynamite Fuse Fails""",The Morning Oregonian,11/2/10,"Attempted dynamiting of the dwelling of five Greek laborers employed at the Milton Nursery Co. in Walla Walla, WA.",Greek; Agriculture,Walla Walla,46.06458,-118.34302,NewsBank,DynamiteFuseFailsAttemptMadetoBlowupOregonianpublishedasMorningOregonianNovember21910page9.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll073,RevengeisCauseGreekLaborersMayHaveOregonianpublishedasMorningOregonianMarch301912page6.pdf,"""Revenge is Cause""",The Morning Oregonian,3/30/12,"Alleged bombing of the Columbia County Lumber Company in St. Helens by a group of Greek laborers, targeting another group of Austrian workers employed I the mill. ",Greek; Lumber,St. Helens,46.34427,-122.52872,NewsBank,RevengeisCauseGreekLaborersMayHaveOregonianpublishedasMorningOregonianMarch301912page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll074,RoseburgisArousedGreekLaborersonStreetsAreOregonianpublishedasMorningOregonianJune191909page6.pdf,"""Roseburg is Aroused Greek Laborers on Streets""",The Morning Oregonian,6/19/09,Retaliation by the Roseburg city council to the deployment of Greek laborers by the Warren Construction Company. ,Greek; Land Development,"Roseburg, Oregon",43.2165,-123.34174,NewsBank,RoseburgisArousedGreekLaborersonStreetsAreOregonianpublishedasMorningOregonianJune191909page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll075,SixMillsCloseonGraysHarborStrikeNowOregonianpublishedasMorningOregonianMarch201912page7.pdf,"""Six Mills Close on Grays Harbor""",The Morning Oregonian,3/20/12,A strike coordinated by I.W.W. affiliated Greek laborers caused mill owners to shutter business rather than bring in another community of workers. ,Greek; Lumber,"Hoquiam, Washington",46.98092,-123.88933,NewsBank,SixMillsCloseonGraysHarborStrikeNowOregonianpublishedasMorningOregonianMarch201912page7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll076,GDExcerptTranscript.pdf,"Demus, Gus",Latah County Oral History Collection,10/24/75,"Gus Demos describes working on the railroad in Ephrata, WA, catching rabbits for food and witnessing a lethal accident. ",Greek; Lumber; Transportation,"Ephrata, Washington",47.31764,-119.55365,University of Idaho,GDExcerptTranscript.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll077,ContractLaborIndianHopPickersCannotComeTacomaDailyNewsAugust241892page5.pdf,"""Contract Labor. Indian Hop Pickers Cannot Come""",The Tacoma Daily News,1892-10-24,Immigration inspector Colonel A.M. Fisher's protest of Indian agricultural workers. ,Hindu; Agricultural,"Port Townsend, Washington",48.11742,122.76071,NewsBank,ContractLaborIndianHopPickersCannotComeTacomaDailyNewsAugust241892page5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll078,DriventoUseofOrientalsSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESAugust131907page10.pdf,"""Driven to Use of Orientals""",The Seattle Daily Times,8/13/07,Everett organizers and town pastor protest against local mill owners employment o Indian labor.,Hindu; Lumber,"Everett, Washington",47.97898,-122.20208,NewsBank,DriventoUseofOrientalsSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESAugust131907page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll079,HindusLeaveGraysHarborSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESSeptember181907page2.pdf,"""Hindus Leave Grays Harbor""",The Seattle Daily Times,9/18/07,A group of eighteen Indian laborers leave Grays Harbor after being turned away from the Grays Harbor Commercial Company due to racial discrimination.,Hindu,"Grays Harbor, Washington",47.14445,-123.82847,NewsBank,HindusLeaveGraysHarborSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESSeptember181907page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll080,HindusMustGoIsSloganofNewUnionSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerAugust161907page11.pdf,"""Hindus Must Go, Is Slogan of New Union""",The Seattle Post-Intelligencer,8/16/07,Account of the American Federation of Labor protesting Hindu workers. ,Hindu; Lumber,"Everett, Washington",47.97898,-122.20208,NewsBank,HindusMustGoIsSloganofNewUnionSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerAugust161907page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll081,MillWorkersAskEmployerstodoAwaywithHindusSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerOctober11907page10.pdf,"""Mill Workers Ask Employers to do Away with Hindus""",The Seattle Post-Intelligencer,10/1/07,Detail of actions the Mill Workers' Union took to ban Indian labor in Washington State. ,Hindu; Lumber,"Everett, Washington",47.97898,-122.20208,NewsBank,MillWorkersAskEmployerstodoAwaywithHindusSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerOctober11907page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll082,400HearChamberlainSenatorinClosingCampaignOregonianpublishedasMorningOregonianNovember31914page4.pdf,"""400 Hear Chamberlain""",The Morning Oregonian,11/3/14,"Account of a public speaking event with Senator Chamberlain in Astoria, WA where the politician includes anti-Indian sentiments. ",Hindu,"Astoria, Oregon",46.18788,-123.83125,NewsBank,400HearChamberlainSenatorinClosingCampaignOregonianpublishedasMorningOregonianNovember31914page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll083,HowYouLoseOregonianpublishedasMorningOregonianNovember11914page6.pdf,"""How You Lose""",The Morning Oregonian,11/1/14,Editorial on impending tariffs that would allow Indian labor from British Columbia to compete with local labor unions. ,Hindu,"Portland, Oregon",45.52345,-122.67621,NewsBank,HowYouLoseOregonianpublishedasMorningOregonianNovember11914page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll084,MillsFateRestsonHughesVictoryEugeneManOregonianpublishedasMorningOregonianAugust151916page1.pdf,"""Mill's Fate Rests on Hughes Victory Eugene Man""",The Morning Oregonian,8/15/16,Editorial stating that the democratic candidate will allow Indian labor to come into the state and undercut existing labor costs. ,Hindu,"Eugene, Oregon",44.05207,-123.08675,NewsBank,MillsFateRestsonHughesVictoryEugeneManOregonianpublishedasMorningOregonianAugust151916page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll085,ProtectOurLumberTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober211908page6.pdf,"""Protect Our Lumber""",The Tacoma Daily News,10/21/08,Anti-tariff organization on behalf of Washington state lumber manufacturers expressing anti-Indian sentiment. ,Hindu; Lumber,"Tacoma, Washington",47.25288,-122.44429,NewsBank,ProtectOurLumberTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober211908page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll086,StateFederationtoDiscussHinduSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJanuary31908page10.pdf,"""State Federation to Discuss Hindu""",The Seattle Post-Intelligencer,1/3/08,"Description of the seventh annual convention of the State Federation of Labor with a portion of attention dedicated to the ""advent of the Hindus.""",Hindu,"Tacoma, Washington",47.25288,-122.44429,NewsBank,StateFederationtoDiscussHinduSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJanuary31908page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll087,BB10091907.pdf,"""Hindus On The Pacific Coast""",The Buckley Banner,9/10/07,Account of Indian laborers in Washington state with immigration statistics. ,Hindu,"Buckley, Washington",47.16316,-122.02678,The Tacoma Public Library Northwest Room,BB10091907.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll088,WMJ04011901.pdf,"""Intolerance""",The Masonic Journal,4/1/28,Letter to the editor calling for tolerance towards Indian immigrants.,Hindu,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,WMJ04011901.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll089,IrishStatisticsAlarmedArrivalsOregonianpublishedasMorningOregonianAugust221882page2.pdf,"""People Who Are Alarmed""",The Morning Oregonian,1882-10-22,"Account of Irish immigration into the country and one of the only articles in the collection that describes English foreigners as ""immigrants.""",Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,IrishStatisticsAlarmedArrivalsOregonianpublishedasMorningOregonianAugust221882page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll090,NoScotchIrishOrAugloSaxonEitherSaysThisOregonianpublishedasMorningOregonianJuly111899page12.pdf,"""No Scotch-Irish. Or Anglo-Saxon, Either""",The Morning Oregonian,1899-07-11,Editorial from an Scotch-Irish immigrant on their experience in America and racial prejudice.,Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,NoScotchIrishOrAugloSaxonEitherSaysThisOregonianpublishedasMorningOregonianJuly111899page12.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll091,TheIrishinAmericaOregonianpublishedasMorningOregonianMarch111896page6.pdf,"""The Irish in America""",The Morning Oregonian,1896-03-11,Summary of Irish immigration into America with distinction between Protestant and Catholic ideologies and connections to the famine. ,Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,TheIrishinAmericaOregonianpublishedasMorningOregonianMarch111896page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll092,ValuableImmigrantsOregonianpublishedasMorningOregonianMay271901page4.pdf,"""Valuable Immigrants""",The Morning Oregonian,5/27/01,"Perception of Irish immigrants, in contrast to Italian laborers. ",Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,ValuableImmigrantsOregonianpublishedasMorningOregonianMay271901page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll093,CanadaSeeksIrishmenSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerMarch11911page10.pdf,"""Canada Seeks Irishmen""",The Morning Oregonian,3/1/11,Description of campaign by Canadian government to attract Irish workers. ,Irish,"New Westminster, BC",49.20678,-122.91092,NewsBank,CanadaSeeksIrishmenSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerMarch11911page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll094,IrelandForeverOregonianpublishedasMorningOregonianJuly71903page8.pdf,"""Ireland Forever""",The Morning Oregonian,7/7/03,Editorial retrospective of Irish immigration to the Pacific Northwest. ,Irish,"New Westminster, BC",49.20678,-122.91092,NewsBank,IrelandForeverOregonianpublishedasMorningOregonianJuly71903page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll095,LaborisHeldatLineBritishColumbiaEntersOregonianpublishedasMorningOregonianApril51914page7.pdf,"""Labor is Held at Line""",The Morning Oregonian,4/5/14,Account of Scotch-Irish railway workers being turned away from Canadian border. ,Irish; Transportation,"Spokane, Washington",47.65966,-117.42908,NewsBank,LaborisHeldatLineBritishColumbiaEntersOregonianpublishedasMorningOregonianApril51914page7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll096,TheHiberniansSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJuly161910page6.pdf,"""The Hibernians""",The Seattle Post-Intelligencer,7/16/10,Account of Scotch-Irish fraternal group The Ancient Order of Hibernians. ,Irish,"Seattle, Washington",47.60621,-122.33207,NewsBank,TheHiberniansSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJuly161910page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll097,ValuableImmigrantsBOregonianpublishedasMorningOregonianMay271901page4.pdf,"""Valuable Immigrants""",The Morning Oregonian,5/27/01,"Perception of Irish immigrants, in contrast to Italian laborers. ",Italian; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,ValuableImmigrantsBOregonianpublishedasMorningOregonianMay271901page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll098,300MenWant60CentsADayOregonianpublishedasMorningOregonianJune131888page4.pdf,"""300 Men Want 60 Cents A Day""",The Morning Oregonian,1888-06-13,Classified ad from Italian laborer offering services for many other Italian immigrants. ,Italian; Land Development,"Hazelton, Oregon",43.7954,-123.06814,NewsBank,300MenWant60CentsADayOregonianpublishedasMorningOregonianJune131888page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll099,ItalianWorkersRefusetoTakeTheirPayTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune251906page1.pdf,"""Italian Workers Refuse to Take Their Pay""",The Tacoma Daily News,6/25/06,Account of Italian workers refusing payment on grounds that they would need to give their real names to the banks. ,Italian; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,ItalianWorkersRefusetoTakeTheirPayTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune251906page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll100,ItaliansNotLockedOutTacomaDailyNewspublishedasTHETACOMADAILYNEWSAugust251908page3.pdf,"""Italians Not Locked Out""",The Tacoma Daily News,8/25/08,Statement regarding Italian and Hindu labor exclusion from railroad work from Superintendent Albee of the Pacific Division. ,Italian; Transportation,"Tacoma, Washington",47.25288,-122.44429,NewsBank,ItaliansNotLockedOutTacomaDailyNewspublishedasTHETACOMADAILYNEWSAugust251908page3.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll101,LewistonLineIsBegunItalianWorkersCommenceOregonianpublishedasMorningOregonianAugust261905page6.pdf,"""Lewiston Line Is Begun Italian Workers Commence""",The Morning Oregonian,8/26/05,Commencement of the Riparia-Lewiston Line of the O.R.&N railroad with Italian labor. ,Italian; Transportation,"Riparia, Washington",46.57848,-118.0869,NewsBank,LewistonLineIsBegunItalianWorkersCommenceOregonianpublishedasMorningOregonianAugust261905page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll102,SendingMoneyToItalyAlbanysLaborersonOtherOregonianpublishedasMorningOregonianNovember221907page11.pdf,"""Sending Money To Italy Albany's Laborers""",The Morning Oregonian,11/22/07,"Report of how much money Italian, Swedish, Irish, German, Norwegian, Japanese and Indian groups are sending back to their home countries via money order. ",Italian,"Albany, Oregon",44.63651,-123.10593,NewsBank,SendingMoneyToItalyAlbany'sLaborersonOtherOregonianpublishedasMorningOregonianNovember221907page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll103,DitchGangsinRiotousStrikeTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune11910page1.pdf,"""Ditch Gangs in Riotous Strike""",The Tacoma Daily News,6/1/10,Account of a large scale walk-out strike by Italian laborers against the Tacoma Gas Co. ,Italian; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,DitchGangsinRiotousStrikeTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune11910page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll104,HamburgCanningCompanyTacomaDailyNewspublishedasTHETACOMADAILYNEWSAugust151916page5.pdf,"""Hamburg Canning Company""",The Tacoma Daily News,8/15/16,Account of D.C. Pierce of the Hamburg Canning Co. and plans to cultivate areas of Puyallup using Italian labor. ,Italian; Agriculture,"Puyallup, Washington",47.18538,-122.2929,NewsBank,HamburgCanningCompanyTacomaDailyNewspublishedasTHETACOMADAILYNEWSAugust151916page5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll105,ItalianWorkersAreAskedToOrganizeSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESFebruary281917page21.pdf,"""Italian Workers Are Asked To Organize""",The Seattle Daily Times,2/28/17,Account of unions in the Seattle Labor Temple calling on Italian hod carriers (construction supplies transporters) to organize. ,Italian; Land Development,"Seattle, Washington",47.60621,-122.33207,NewsBank,ItalianWorkersAreAskedToOrganizeSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESFebruary281917page21.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll106,RoyalAnneCherriesOregonianpublishedasMorningOregonianAugust221916page8.pdf,"""Royal Anne Cherries""",The Morning Oregonian,9/22/16,"Criticism of the Underwood Tariff, it's effect on the Washington cherry market and vulnerability to ""cheap Italian labor.""",Italian; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,RoyalAnneCherriesOregonianpublishedasMorningOregonianAugust221916page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll107,StrikeThreatensInCityBuildingPoliticsSeeninOregonianApril241917page8.pdf,"""Strike Threatens In City Building Politics""",The Oregonian,4/24/17,Account of strike during the construction of the Public Auditorium and unions attempting to get Italian workers to organize. ,Italian; Land Development,"Portland, Oregon",45.52345,-122.67621,NewsBank,StrikeThreatensInCityBuildingPoliticsSeeninOregonianApril241917page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
coll108,A Paper on ImmigrationI.pdf,"""A Paper on Immigration""",The Tacoma Rotary Club,3/31/15,Anti-Immigration pamphlet published by the Tacoma Rotary Club.,Italian,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,A Paper on ImmigrationI.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
