obj-old,filename,title,creator,date,description,subject,location,latitude,longitude,source,objectid,identifier,type,format,language,rights,rightsstatement
mappinglanguage052,GermansInTheUnitedStatesOregonianpublishedasTheSundayOregonianDecember281884page4.pdf,"""Germans In The United States""",The Sunday Oregonian,1884-12-28,"Profile of German immigration, including statistics and some editorial notes about the German ability to ""assimilate.""",German,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage052,GermansInTheUnitedStatesOregonianpublishedasTheSundayOregonianDecember281884page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage053,MigratoryPopulationOregonianpublishedasMorningOregonianMay91895page4.pdf,"""Migratory Population""",The Morning Oregonian,1895-05-09,"Statistics heavy report on immigration into the US and Pacific Northwest, including the German population. ",German,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage053,MigratoryPopulationOregonianpublishedasMorningOregonianMay91895page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage054,MrPrachtAnsweredTheStudyofLanguagesNotaOregonianpublishedasMorningOregonianJanuary241894page4.pdf,"""Mr. Pracht Answered""",The Morning Oregonian,1894-01-24,Account of an educator weighing in on German communities teaching only foreign languages in publicly funded schools.,German,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage054,MrPrachtAnsweredTheStudyofLanguagesNotaOregonianpublishedasMorningOregonianJanuary241894page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage055,PolkCountyNewsOregonianpublishedasMorningOregonianNovember81889page2.pdf,"""Polk County News""",The Morning Oregonian,1889-11-28,Account of German immigrants moving south from Manitoba to the Dalles.,German,"The Dalles, Oregon",45.59456,-121.17868,NewsBank,maplanguage055,PolkCountyNewsOregonianpublishedasMorningOregonianNovember81889page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage056,AccidentOvertakesFleeingGrafterTacomaDailyNewspublishedasTHETACOMADAILYNEWSNovember281907page3.pdf,"""Accident Overtakes Fleeing Grafter""",The Tacoma Daily News,1907-11-28,Account of a group of German laborers assaulting a labor foreman.,German; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage056,AccidentOvertakesFleeingGrafterTacomaDailyNewspublishedasTHETACOMADAILYNEWSNovember281907page3.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage057,DischargedLaborersAppealOregonianpublishedasMorningOregonianJanuary91908page11.pdf,"""Discharged Laborers Appeal""",The Morning Oregonian,1908-01-09,Group of German laborers file a petition with Tacoma parks superintendent on grounds of wrongful dismissal.,German; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage057,DischargedLaborersAppealOregonianpublishedasMorningOregonianJanuary91908page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage058,MakeHunWorkasWellasPayOregonianpublishedasMorningOregonianOctober281918pageCopyof6.pdf,"""Make Hun Work as Well as Pay""",The Morning Oregonian,1918-10-28,"Editorial from resident of Stevenson, WA on German labor. ",German,"Stevenson, Washington",45.69567,-121.88452,NewsBank,maplanguage058,MakeHunWorkasWellasPayOregonianpublishedasMorningOregonianOctober281918pageCopyof6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage059,SheriffNabsThreeWobbliesSeattlePostIntelligencerMarch301922page7.pdf,"""Sheriff Nabs Three Wobblies""",The Seattle Post-Intelligencer,1922-03-30,Account of King County sheriff arresting German laborers.,German,"Seattle, Washington",47.60621,-122.33207,NewsBank,maplanguage059,SheriffNabsThreeWobbliesSeattlePostIntelligencerMarch301922page7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage060,TeutonRedTakeninPortlandRaidSecretaryofHunOregonianpublishedasMorningOregonianNovember131919page16.pdf,"""Teuton Red Taken in Portland Raid""",The Morning Oregonian,1919-11-13,Account of police raid on German I.W.W. members.,German,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage060,TeutonRedTakeninPortlandRaidSecretaryofHunOregonianpublishedasMorningOregonianNovember131919page16.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage061,Arbeideren041892.png,"Arbeideren, German Language Newspaper",Arbeideren,1892-04-01,"Arbeideren, German Language Newspaper",German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage061,Arbeideren041892.png,Image;StillImage,image/jpeg,ger,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage062,A Paper on ImmigrationG.pdf,"""A Paper on Immigration""",The Tacoma Rotary Club,1915-03-31,Anti-Immigration pamphlet published by the Tacoma Rotary Club.,German; Agriculture,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage062,A Paper on ImmigrationG.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage063,TEN151019012.png,"""Bewildering Sights""",The Evening News,1901-10-15,"Description of an international fair that was held in Tacoma and. Organized by various fraternal orders, featuring a German village exhibition. ",German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage063,TEN151019012.png,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage064,V15011891.png,Verwartz! German Language Newspaper,Verwarts!,1891-01-06,Verwartz! German Language Newspaper,German; Agriculture,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage064,V15011891.png,Image;StillImage,image/jpeg,ger,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage065,PE01061904.png,"Pacific Emissaren, Dutch Language Newspaper",Pacific Emissaren,1904-06-01,"Pacific Emissaren, Dutch Language Newspaper",German,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage065,PE01061904.png,Image;StillImage,image/jpeg,dut,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage066,ALessoninAnarchyOregonianpublishedasMorningOregonianJuly161908page8.pdf,"""A Lesson in Anarchy""",The Morning Oregonian,1908-07-16,"An editorial denouncing the actions of ""kindergarten Greek citizens"" on behalf of the Salem Electric Railroad Co. in Marion and Washington Counties.",Greek; Transportation,Marion County,44.90319,-122.58473,NewsBank,maplanguage066,ALessoninAnarchyOregonianpublishedasMorningOregonianJuly161908page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage067,DetroitSaloonWreckedWorkBelievedtoBeRevengeOregonianpublishedasTheSundayOregonianSeptember11907page15.pdf,"""Detroit Saloon Wrecked ""A Lesson in Anarchy""",The Morning Oregonian,1907-09-01,"Account of a group of Greek railroad laborers dynamiting a saloon in Detroit, OR.",Greek; Transportation,"Detroit, Oregon",44.73401,-122.1498,NewsBank,maplanguage067,DetroitSaloonWreckedWorkBelievedtoBeRevengeOregonianpublishedasTheSundayOregonianSeptember11907page15.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage068,GreeksTurnonForemanFrankMGeeStopsAttackOregonianpublishedasMorningOregonianApril81908page11.pdf,"""Greeks Turn on Foreman""",The Morning Oregonian,1908-04-08,Description of a group of Greek laborers confronting a foreman and being threatened with a pistol.,Greek; Land Development,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage068,GreeksTurnonForemanFrankMGeeStopsAttackOregonianpublishedasMorningOregonianApril81908page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage069,SpillBloodatColfaxGreekLaborersinFightOregonianpublishedasMorningOregonianDecember111908page1.pdf,"""Spill Blood at Colfax""",The Morning Oregonian,1908-12-11,"Account of gun fight between three Greek railroad workers employed by O.R. & N. in Colfax, Washington. ",Greek; Transportation,"Colfax, Washington",46.88017,117.36435,NewsBank,maplanguage069,SpillBloodatColfaxGreekLaborersinFightOregonianpublishedasMorningOregonianDecember111908page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage070,WomanKilledinRiotTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober111905page1.pdf,"""Woman Killed in Riot""",The Tacoma Daily News,1905-10-11,"Large scale incident involving the arrest of eighty Greek railroad workers fighting with another railroad worker group, resulting in the death of a woman caught in the cross fire. ",Greek; Transportation,"Riddle, Oregon",42.95095,-123.36423,NewsBank,maplanguage070,WomanKilledinRiotTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober111905page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage071,CentraliaAmericansWouldOustGreeksSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESMay31911page13.pdf,"""Centralia Americans Would Oust Greeks""",The Seattle Daily Times,1911-05-03,Account of petition against the signing of any city contracts to Greek laborers during a Centralia city council meeting.,Greek; Land Development,"Centralia, Washington",46.71621,-122.9543,NewsBank,maplanguage071,CentraliaAmericansWouldOustGreeksSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESMay31911page13.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage072,DynamiteFuseFailsAttemptMadetoBlowupOregonianpublishedasMorningOregonianNovember21910page9.pdf,"""Dynamite Fuse Fails""",The Morning Oregonian,1910-11-02,"Attempted dynamiting of the dwelling of five Greek laborers employed at the Milton Nursery Co. in Walla Walla, WA.",Greek; Agriculture,Walla Walla,46.06458,-118.34302,NewsBank,maplanguage072,DynamiteFuseFailsAttemptMadetoBlowupOregonianpublishedasMorningOregonianNovember21910page9.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage073,RevengeisCauseGreekLaborersMayHaveOregonianpublishedasMorningOregonianMarch301912page6.pdf,"""Revenge is Cause""",The Morning Oregonian,1912-03-30,"Alleged bombing of the Columbia County Lumber Company in St. Helens by a group of Greek laborers, targeting another group of Austrian workers employed I the mill. ",Greek; Lumber,St. Helens,46.34427,-122.52872,NewsBank,maplanguage073,RevengeisCauseGreekLaborersMayHaveOregonianpublishedasMorningOregonianMarch301912page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage074,RoseburgisArousedGreekLaborersonStreetsAreOregonianpublishedasMorningOregonianJune191909page6.pdf,"""Roseburg is Aroused Greek Laborers on Streets""",The Morning Oregonian,1909-06-19,Retaliation by the Roseburg city council to the deployment of Greek laborers by the Warren Construction Company.,Greek; Land Development,"Roseburg, Oregon",43.2165,-123.34174,NewsBank,maplanguage074,RoseburgisArousedGreekLaborersonStreetsAreOregonianpublishedasMorningOregonianJune191909page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage075,SixMillsCloseonGraysHarborStrikeNowOregonianpublishedasMorningOregonianMarch201912page7.pdf,"""Six Mills Close on Grays Harbor""",The Morning Oregonian,1912-03-20,A strike coordinated by I.W.W. affiliated Greek laborers caused mill owners to shutter business rather than bring in another community of workers.,Greek; Lumber,"Hoquiam, Washington",46.98092,-123.88933,NewsBank,maplanguage075,SixMillsCloseonGraysHarborStrikeNowOregonianpublishedasMorningOregonianMarch201912page7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage076,GDExcerptTranscript.pdf,"Demus, Gus",Latah County Oral History Collection,1975-10-24,"Gus Demos describes working on the railroad in Ephrata, WA, catching rabbits for food and witnessing a lethal accident. ",Greek; Lumber; Transportation,"Ephrata, Washington",47.31764,-119.55365,University of Idaho,maplanguage076,GDExcerptTranscript.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage077,ContractLaborIndianHopPickersCannotComeTacomaDailyNewsAugust241892page5.pdf,"""Contract Labor. Indian Hop Pickers Cannot Come""",The Tacoma Daily News,1892-10-24,Immigration inspector Colonel A.M. Fisher's protest of Indian agricultural workers.,Hindu; Agricultural,"Port Townsend, Washington",48.11742,-122.76071,NewsBank,maplanguage077,ContractLaborIndianHopPickersCannotComeTacomaDailyNewsAugust241892page5.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage078,DriventoUseofOrientalsSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESAugust131907page10.pdf,"""Driven to Use of Orientals""",The Seattle Daily Times,1907-08-13,Everett organizers and town pastor protest against local mill owners employment o Indian labor.,Hindu; Lumber,"Everett, Washington",47.97898,-122.20208,NewsBank,maplanguage078,DriventoUseofOrientalsSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESAugust131907page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage079,HindusLeaveGraysHarborSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESSeptember181907page2.pdf,"""Hindus Leave Grays Harbor""",The Seattle Daily Times,1907-09-18,A group of eighteen Indian laborers leave Grays Harbor after being turned away from the Grays Harbor Commercial Company due to racial discrimination.,Hindu; Transportation,"Grays Harbor, Washington",47.14445,-123.82847,NewsBank,maplanguage079,HindusLeaveGraysHarborSeattleDailyTimespublishedasTHESEATTLEDAILYTIMESSeptember181907page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage080,HindusMustGoIsSloganofNewUnionSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerAugust161907page11.pdf,"""Hindus Must Go, Is Slogan of New Union""",The Seattle Post-Intelligencer,1907-08-16,Account of the American Federation of Labor protesting Hindu workers.,Hindu; Lumber,"Everett, Washington",47.97898,-122.20208,NewsBank,maplanguage080,HindusMustGoIsSloganofNewUnionSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerAugust161907page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage081,MillWorkersAskEmployerstodoAwaywithHindusSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerOctober11907page10.pdf,"""Mill Workers Ask Employers to do Away with Hindus""",The Seattle Post-Intelligencer,1907-10-01,Detail of actions the Mill Workers' Union took to ban Indian labor in Washington State.,Hindu; Lumber,"Everett, Washington",47.97898,-122.20208,NewsBank,maplanguage081,MillWorkersAskEmployerstodoAwaywithHindusSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerOctober11907page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage082,400HearChamberlainSenatorinClosingCampaignOregonianpublishedasMorningOregonianNovember31914page4.pdf,"""400 Hear Chamberlain""",The Morning Oregonian,1914-11-03,"Account of a public speaking event with Senator Chamberlain in Astoria, WA where the politician includes anti-Indian sentiments. ",Hindu; Lumber,"Astoria, Oregon",46.18788,-123.83125,NewsBank,maplanguage082,400HearChamberlainSenatorinClosingCampaignOregonianpublishedasMorningOregonianNovember31914page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage083,HowYouLoseOregonianpublishedasMorningOregonianNovember11914page6.pdf,"""How You Lose""",The Morning Oregonian,1914-11-01,Editorial on impending tariffs that would allow Indian labor from British Columbia to compete with local labor unions.,Hindu; Lumber,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage083,HowYouLoseOregonianpublishedasMorningOregonianNovember11914page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage084,MillsFateRestsonHughesVictoryEugeneManOregonianpublishedasMorningOregonianAugust151916page1.pdf,"""Mill's Fate Rests on Hughes Victory Eugene Man""",The Morning Oregonian,1916-08-15,Editorial stating that the democratic candidate will allow Indian labor to come into the state and undercut existing labor costs.,Hindu; Lumber,"Eugene, Oregon",44.05207,-123.08675,NewsBank,maplanguage084,MillsFateRestsonHughesVictoryEugeneManOregonianpublishedasMorningOregonianAugust151916page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage085,ProtectOurLumberTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober211908page6.pdf,"""Protect Our Lumber""",The Tacoma Daily News,1908-10-21,Anti-tariff organization on behalf of Washington state lumber manufacturers expressing anti-Indian sentiment.,Hindu; Lumber,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage085,ProtectOurLumberTacomaDailyNewspublishedasTHETACOMADAILYNEWSOctober211908page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage086,StateFederationtoDiscussHinduSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJanuary31908page10.pdf,"""State Federation to Discuss Hindu""",The Seattle Post-Intelligencer,1908-01-03,"Description of the seventh annual convention of the State Federation of Labor with a portion of attention dedicated to the ""advent of the Hindus.""",Hindu; Transportation,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage086,StateFederationtoDiscussHinduSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJanuary31908page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage087,BB10091907.pdf,"""Hindus On The Pacific Coast""",The Buckley Banner,1907-09-10,Account of Indian laborers in Washington state with immigration statistics.,Hindu,"Buckley, Washington",47.16316,-122.02678,The Tacoma Public Library Northwest Room,maplanguage087,BB10091907.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage088,WMJ04011901.pdf,"""Intolerance""",The Masonic Journal,1928-04-01,Letter to the editor calling for tolerance towards Indian immigrants.,Hindu,"Tacoma, Washington",47.25288,-122.44429,The Tacoma Public Library Northwest Room,maplanguage088,WMJ04011901.pdf,Text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mappinglanguage089,IrishStatisticsAlarmedArrivalsOregonianpublishedasMorningOregonianAugust221882page2.pdf,"""People Who Are Alarmed""",The Morning Oregonian,1882-10-22,"Account of Irish immigration into the country and one of the only articles in the collection that describes English foreigners as ""immigrants.""",Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage089,IrishStatisticsAlarmedArrivalsOregonianpublishedasMorningOregonianAugust221882page2.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage090,NoScotchIrishOrAugloSaxonEitherSaysThisOregonianpublishedasMorningOregonianJuly111899page12.pdf,"""No Scotch-Irish. Or Anglo-Saxon, Either""",The Morning Oregonian,1899-07-11,Editorial from an Scotch-Irish immigrant on their experience in America and racial prejudice.,Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage090,NoScotchIrishOrAugloSaxonEitherSaysThisOregonianpublishedasMorningOregonianJuly111899page12.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage091,TheIrishinAmericaOregonianpublishedasMorningOregonianMarch111896page6.pdf,"""The Irish in America""",The Morning Oregonian,1896-03-11,Summary of Irish immigration into America with distinction between Protestant and Catholic ideologies and connections to the famine.,Irish,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage091,TheIrishinAmericaOregonianpublishedasMorningOregonianMarch111896page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage092,ValuableImmigrantsOregonianpublishedasMorningOregonianMay271901page4.pdf,"""Valuable Immigrants""",The Morning Oregonian,1901-05-27,"Perception of Irish immigrants, in contrast to Italian laborers. ",Irish; Transportation,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage092,ValuableImmigrantsOregonianpublishedasMorningOregonianMay271901page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage093,CanadaSeeksIrishmenSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerMarch11911page10.pdf,"""Canada Seeks Irishmen""",The Morning Oregonian,1911-03-01,Description of campaign by Canadian government to attract Irish workers.,Irish,"New Westminster, BC",49.20678,-122.91092,NewsBank,maplanguage093,CanadaSeeksIrishmenSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerMarch11911page10.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage094,IrelandForeverOregonianpublishedasMorningOregonianJuly71903page8.pdf,"""Ireland Forever""",The Morning Oregonian,1903-07-07,Editorial retrospective of Irish immigration to the Pacific Northwest.,Irish; Transportation,"New Westminster, BC",49.20678,-122.91092,NewsBank,maplanguage094,IrelandForeverOregonianpublishedasMorningOregonianJuly71903page8.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage095,LaborisHeldatLineBritishColumbiaEntersOregonianpublishedasMorningOregonianApril51914page7.pdf,"""Labor is Held at Line""",The Morning Oregonian,1914-04-05,Account of Scotch-Irish railway workers being turned away from Canadian border.,Irish; Transportation,"Spokane, Washington",47.65966,-117.42908,NewsBank,maplanguage095,LaborisHeldatLineBritishColumbiaEntersOregonianpublishedasMorningOregonianApril51914page7.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage096,TheHiberniansSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJuly161910page6.pdf,"""The Hibernians""",The Seattle Post-Intelligencer,1910-07-16,Account of Scotch-Irish fraternal group The Ancient Order of Hibernians.,Irish,"Seattle, Washington",47.60621,-122.33207,NewsBank,maplanguage096,TheHiberniansSeattlePostIntelligencerpublishedasTheSeattlepostintelligencerJuly161910page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage097,ValuableImmigrantsBOregonianpublishedasMorningOregonianMay271901page4.pdf,"""Valuable Immigrants""",The Morning Oregonian,1901-05-27,"Perception of Irish immigrants, in contrast to Italian laborers. ",Italian; Agriculture,"Portland, Oregon",45.52345,-122.67621,NewsBank,maplanguage097,ValuableImmigrantsBOregonianpublishedasMorningOregonianMay271901page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage098,300MenWant60CentsADayOregonianpublishedasMorningOregonianJune131888page4.pdf,"""300 Men Want 60 Cents A Day""",The Morning Oregonian,1888-06-13,Classified ad from Italian laborer offering services for many other Italian immigrants.,Italian; Land Development,"Hazelton, Oregon",43.7954,-123.06814,NewsBank,maplanguage098,300MenWant60CentsADayOregonianpublishedasMorningOregonianJune131888page4.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage099,ItalianWorkersRefusetoTakeTheirPayTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune251906page1.pdf,"""Italian Workers Refuse to Take Their Pay""",The Tacoma Daily News,1906-06-25,Account of Italian workers refusing payment on grounds that they would need to give their real names to the banks.,Italian; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage099,ItalianWorkersRefusetoTakeTheirPayTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune251906page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage100,ItaliansNotLockedOutTacomaDailyNewspublishedasTHETACOMADAILYNEWSAugust251908page3.pdf,"""Italians Not Locked Out""",The Tacoma Daily News,1908-08-25,Statement regarding Italian and Hindu labor exclusion from railroad work from Superintendent Albee of the Pacific Division.,Italian; Transportation,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage100,ItaliansNotLockedOutTacomaDailyNewspublishedasTHETACOMADAILYNEWSAugust251908page3.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage101,LewistonLineIsBegunItalianWorkersCommenceOregonianpublishedasMorningOregonianAugust261905page6.pdf,"""Lewiston Line Is Begun Italian Workers Commence""",The Morning Oregonian,1905-08-26,Commencement of the Riparia-Lewiston Line of the O.R.&N railroad with Italian labor.,Italian; Transportation,"Riparia, Washington",46.57848,-118.0869,NewsBank,maplanguage101,LewistonLineIsBegunItalianWorkersCommenceOregonianpublishedasMorningOregonianAugust261905page6.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage102,SendingMoneyToItalyAlbanysLaborersonOtherOregonianpublishedasMorningOregonianNovember221907page11.pdf,"""Sending Money To Italy Albany's Laborers""",The Morning Oregonian,1907-11-22,"Report of how much money Italian, Swedish, Irish, German, Norwegian, Japanese and Indian groups are sending back to their home countries via money order. ",Italian; Transportation,"Albany, Oregon",44.63651,-123.10593,NewsBank,maplanguage102,SendingMoneyToItalyAlbany'sLaborersonOtherOregonianpublishedasMorningOregonianNovember221907page11.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
mappinglanguage103,DitchGangsinRiotousStrikeTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune11910page1.pdf,"""Ditch Gangs in Riotous Strike""",The Tacoma Daily News,1910-06-01,Account of a large scale walk-out strike by Italian laborers against the Tacoma Gas Co.,Italian; Land Development,"Tacoma, Washington",47.25288,-122.44429,NewsBank,maplanguage103,DitchGangsinRiotousStrikeTacomaDailyNewspublishedasTHETACOMADAILYNEWSJune11910page1.pdf,Text,application/pdf,eng,NON-COMMERCIAL USE PERMITTED,https://rightsstatements.org/page/InC-NC/1.0/?language=en
